,dateRep,cases,countriesAndTerritories,flag
5467,2020-01-01,0,North_Macedonia,0.0
4034,2020-01-01,0,Japan,0.0
3641,2020-01-01,0,Iraq,0.0
6844,2020-01-01,0,Spain,0.0
5093,2020-01-01,0,Nepal,0.0
2128,2020-01-02,0,Dominican_Republic,0.0
3922,2020-01-02,0,Italy,0.0
4204,2020-01-02,0,Kuwait,0.0
6068,2020-01-02,0,Qatar,0.0
1448,2020-01-02,0,Cases_on_an_international_conveyance_Japan,0.0
932,2020-01-02,0,Belgium,0.0
5559,2020-01-02,0,Norway,0.0
2895,2020-01-02,0,Germany,0.0
2430,2020-01-02,0,Estonia,0.0
2215,2020-01-02,0,Ecuador,0.0
535,2020-01-02,0,Austria,0.0
3458,2020-01-02,0,Indonesia,0.0
7140,2020-01-02,0,Switzerland,0.0
5732,2020-01-02,0,Pakistan,0.0
4915,2020-01-02,0,Monaco,0.0
3830,2020-01-02,0,Israel,0.0
7324,2020-01-02,0,Thailand,0.0
217,2020-01-02,0,Algeria,0.0
3640,2020-01-02,0,Iraq,0.0
1262,2020-01-02,0,Cambodia,0.0
5092,2020-01-02,0,Nepal,0.0
2303,2020-01-02,0,Egypt,0.0
443,2020-01-02,0,Australia,0.0
1373,2020-01-02,0,Canada,0.0
2669,2020-01-02,0,France,0.0
6750,2020-01-02,0,South_Korea,0.0
3550,2020-01-02,0,Iran,0.0
6563,2020-01-02,0,Singapore,0.0
3282,2020-01-02,0,Iceland,0.0
4650,2020-01-02,0,Malaysia,0.0
7239,2020-01-02,0,Taiwan,0.0
5466,2020-01-02,0,North_Macedonia,0.0
7877,2020-01-02,0,Vietnam,0.0
5278,2020-01-02,0,New_Zealand,0.0
4548,2020-01-02,0,Luxembourg,0.0
4337,2020-01-02,0,Lebanon,0.0
840,2020-01-02,0,Belarus,0.0
4463,2020-01-02,0,Lithuania,0.0
4813,2020-01-02,0,Mexico,0.0
6384,2020-01-02,0,San_Marino,0.0
1607,2020-01-02,81,China,0.0
5383,2020-01-02,0,Nigeria,0.0
6245,2020-01-02,0,Russia,0.0
6926,2020-01-02,0,Sri_Lanka,0.0
725,2020-01-02,0,Bahrain,0.0
4033,2020-01-02,0,Japan,0.0
3730,2020-01-02,0,Ireland,0.0
7732,2020-01-02,0,United_States_of_America,0.0
2577,2020-01-02,0,Finland,0.0
7048,2020-01-02,0,Sweden,0.0
1775,2020-01-02,0,Croatia,0.0
2803,2020-01-02,0,Georgia,0.0
6158,2020-01-02,0,Romania,0.0
5921,2020-01-02,0,Philippines,0.0
7533,2020-01-02,0,United_Arab_Emirates,0.0
79,2020-01-02,0,Afghanistan,0.0
7625,2020-01-02,0,United_Kingdom,0.0
1912,2020-01-02,0,Czech_Republic,0.0
342,2020-01-02,0,Armenia,0.0
3015,2020-01-02,0,Greece,0.0
3373,2020-01-02,0,India,0.0
2023,2020-01-02,0,Denmark,0.0
6843,2020-01-02,0,Spain,0.0
1112,2020-01-02,0,Brazil,0.0
5645,2020-01-02,0,Oman,0.0
5184,2020-01-02,0,Netherlands,0.0
620,2020-01-02,0,Azerbaijan,0.0
6157,2020-01-03,0,Romania,0.0
2576,2020-01-03,0,Finland,0.0
6562,2020-01-03,0,Singapore,0.0
341,2020-01-03,0,Armenia,0.0
1111,2020-01-03,0,Brazil,0.0
5920,2020-01-03,0,Philippines,0.0
4812,2020-01-03,0,Mexico,0.0
3639,2020-01-03,0,Iraq,0.0
4462,2020-01-03,0,Lithuania,0.0
5183,2020-01-03,0,Netherlands,0.0
2429,2020-01-03,0,Estonia,0.0
5558,2020-01-03,0,Norway,0.0
7624,2020-01-03,0,United_Kingdom,0.0
7047,2020-01-03,0,Sweden,0.0
3829,2020-01-03,0,Israel,0.0
5644,2020-01-03,0,Oman,0.0
1911,2020-01-03,0,Czech_Republic,0.0
619,2020-01-03,0,Azerbaijan,0.0
4336,2020-01-03,0,Lebanon,0.0
3729,2020-01-03,0,Ireland,0.0
4547,2020-01-03,0,Luxembourg,0.0
1774,2020-01-03,0,Croatia,0.0
839,2020-01-03,0,Belarus,0.0
3457,2020-01-03,0,Indonesia,0.0
1606,2020-01-03,125,China,0.0
5382,2020-01-03,0,Nigeria,0.0
6244,2020-01-03,0,Russia,0.0
724,2020-01-03,0,Bahrain,0.0
4032,2020-01-03,0,Japan,0.0
7731,2020-01-03,0,United_States_of_America,0.0
7532,2020-01-03,0,United_Arab_Emirates,0.0
6067,2020-01-03,0,Qatar,0.0
5465,2020-01-03,0,North_Macedonia,0.0
3372,2020-01-03,0,India,0.0
7323,2020-01-03,0,Thailand,0.0
4914,2020-01-03,0,Monaco,0.0
1261,2020-01-03,0,Cambodia,0.0
2302,2020-01-03,0,Egypt,0.0
442,2020-01-03,0,Australia,0.0
1372,2020-01-03,0,Canada,0.0
5731,2020-01-03,0,Pakistan,0.0
6842,2020-01-03,0,Spain,0.0
3281,2020-01-03,0,Iceland,0.0
2214,2020-01-03,0,Ecuador,0.0
2127,2020-01-03,0,Dominican_Republic,0.0
534,2020-01-03,0,Austria,0.0
931,2020-01-03,0,Belgium,0.0
5277,2020-01-03,0,New_Zealand,0.0
3549,2020-01-03,0,Iran,0.0
2022,2020-01-03,0,Denmark,0.0
6749,2020-01-03,0,South_Korea,0.0
1447,2020-01-03,0,Cases_on_an_international_conveyance_Japan,0.0
5091,2020-01-03,0,Nepal,0.0
3014,2020-01-03,0,Greece,0.0
2802,2020-01-03,0,Georgia,0.0
7876,2020-01-03,0,Vietnam,0.0
2894,2020-01-03,0,Germany,0.0
6383,2020-01-03,0,San_Marino,0.0
4203,2020-01-03,0,Kuwait,0.0
4649,2020-01-03,0,Malaysia,0.0
78,2020-01-03,0,Afghanistan,0.0
7139,2020-01-03,0,Switzerland,0.0
6925,2020-01-03,0,Sri_Lanka,0.0
216,2020-01-03,0,Algeria,0.0
2668,2020-01-03,0,France,0.0
3921,2020-01-03,0,Italy,0.0
7238,2020-01-03,0,Taiwan,0.0
5381,2020-01-04,0,Nigeria,0.0
215,2020-01-04,0,Algeria,0.0
3638,2020-01-04,0,Iraq,0.0
5182,2020-01-04,0,Netherlands,0.0
3456,2020-01-04,0,Indonesia,0.0
2667,2020-01-04,0,France,0.0
5557,2020-01-04,0,Norway,0.0
2021,2020-01-04,0,Denmark,0.0
1371,2020-01-04,0,Canada,0.0
7046,2020-01-04,0,Sweden,0.0
5730,2020-01-04,0,Pakistan,0.0
1260,2020-01-04,0,Cambodia,0.0
4546,2020-01-04,0,Luxembourg,0.0
7730,2020-01-04,0,United_States_of_America,0.0
6561,2020-01-04,0,Singapore,0.0
2428,2020-01-04,0,Estonia,0.0
723,2020-01-04,0,Bahrain,0.0
5643,2020-01-04,0,Oman,0.0
4202,2020-01-04,0,Kuwait,0.0
6156,2020-01-04,0,Romania,0.0
2126,2020-01-04,0,Dominican_Republic,0.0
533,2020-01-04,0,Austria,0.0
77,2020-01-04,0,Afghanistan,0.0
340,2020-01-04,0,Armenia,0.0
7237,2020-01-04,0,Taiwan,0.0
3920,2020-01-04,0,Italy,0.0
2301,2020-01-04,0,Egypt,0.0
3728,2020-01-04,0,Ireland,0.0
7531,2020-01-04,0,United_Arab_Emirates,0.0
7623,2020-01-04,0,United_Kingdom,0.0
4461,2020-01-04,0,Lithuania,0.0
5276,2020-01-04,0,New_Zealand,0.0
3280,2020-01-04,0,Iceland,0.0
5919,2020-01-04,0,Philippines,0.0
5090,2020-01-04,0,Nepal,0.0
5464,2020-01-04,0,North_Macedonia,0.0
4913,2020-01-04,0,Monaco,0.0
