,country,lat,long
0,AF,33.831137065000064,66.02471179700007
1,AO,47.58581000500004,14.137076948000072
2,AL,41.13455328400005,20.06420643100006
3,AD,42.54530320100008,1.5762863020000282
4,DZ,28.144113769000057,2.6799659330000623
5,AI,18.224602780000055,-63.05962295599994
6,AG,21.88119000000006,-102.29606999999999
7,AR,-35.49575818399995,-65.07154210799996
8,AM,40.293084855000075,44.94022131100007
9,AW,12.50908537500004,-69.97050301699994
10,AU,-25.70993156999998,134.48403119800003
11,AT,nan,nan
12,AZ,40.29016196900005,47.52870740700007
13,BS,25.040820000000053,-77.37121999999994
14,BH,26.05185877400004,50.564426954000055
15,BD,23.804670475000023,90.28845390100008
16,BB,13.172221979000028,-59.55642447799994
17,BY,53.542208696000046,28.050095379000027
18,BE,46.94843000000003,7.44046000000003
19,BZ,17.209050260000026,-88.69496155299998
20,BJ,9.661949812000046,2.33919688900005
21,BM,32.30681773200007,-64.77004183699995
22,BT,27.41482682700007,90.42623098500007
23,BO,-16.67085566199995,-64.59749402799997
24,BA,44.168254123000054,17.785249916000055
25,BR,-10.769946428999958,-53.073466888999974
26,VG,18.430308339000078,-64.59420749999998
27,BN,4.520762436000041,114.7507502090001
28,BG,42.75500839100005,25.23641224000005
29,BF,12.286319460000072,-1.7441041949999772
30,KH,12.708188507000045,104.91471615200004
31,CM,5.672331431000032,12.737869296000042
32,CA,60.108670000000075,-113.64257999999995
33,CV,15.08362928200006,-23.624671987999932
34,JPG11668,nan,nan
35,KY,19.31842329500006,-81.24322039299994
36,CF,-34.60848999999996,-58.37343999999996
37,TD,15.376264850000041,18.674165747000075
38,CL,-29.999999999999943,-70.99999999999994
39,CN,36.567348398000036,103.93002703300004
40,CO,3.901115804000028,-73.07575492399997
41,CG,-0.8217651579999483,15.23529437600007
42,CR,9.972837179000066,-84.19631843899998
43,CI,7.629182541000034,-5.554728587999932
44,HR,45.11867958500005,15.435623834000069
45,CU,22.000000000000057,-79.49999999999994
46,CW,12.193507423000028,-68.97143527599997
47,CY,35.05017425900007,33.226229774000046
48,CZ,49.73885405000004,15.331770120000044
49,CD,-31.407179999999983,-64.18570999999997
50,DK,55.959300779000046,10.053934054000024
51,DJ,11.733763645000067,42.58017759000006
52,DM,15.434657276000053,-61.35007388199995
53,DO,18.89668483400004,-70.49003617099999
54,EC,-1.428836290999925,-78.77523855199996
55,EG,26.512273493000066,29.870494860000065
56,SV,13.733468471000037,-88.86567455199997
57,GQ,1.7026148510000212,10.333091866000075
58,ER,15.362796794000076,38.860666913000045
59,EE,58.67204078700007,25.477224001000025
60,SZ,-26.56500356099997,31.49799039000004
61,ET,8.619088938000061,39.644750130000034
62,FK,-51.74550644999994,-58.752109624999946
63,FO,62.07111675700003,-6.892303173999949
64,FJ,-17.835402366999972,177.96333137200008
65,FI,64.52251280100006,26.158834376000073
66,FR,46.55941704400004,2.5505399530000545
67,PF,-17.67739793399994,-149.40097329699998
68,GA,15.697237961000042,-90.36397945999994
69,GM,13.448008972000025,-15.380941536999956
70,GE,46.208330000000046,6.142750000000035
71,DE,51.11063104900006,10.39227793200007
72,GH,7.980995107000069,-1.2497723419999716
73,GI,36.13600766900004,-5.348661838999931
74,EL,52.73828512400007,7.402634320000061
75,GL,74.72711633200004,-41.34560937799995
76,GD,12.151965053000026,-61.659644958999934
77,GU,15.697237961000042,-90.36397945999994
78,GT,15.697237961000042,-90.36397945999994
79,GG,49.48120934000008,-2.522373039999934
80,GN,10.435445941000069,-10.942500889999963
81,GW,nan,nan
82,GY,4.796422680000035,-58.97538657499996
83,HT,18.320000841000024,-73.05271499999998
84,VA,41.90225000000004,12.45330000000007
85,HN,14.824173968000025,-86.60026424299997
86,HU,47.16708877000008,19.424531700000045
87,IS,64.98695685900003,-18.582382345999974
88,IN,nan,nan
89,ID,-0.989818181999965,113.91586500000005
90,IR,32.55801995200005,54.305910263000044
91,IQ,33.03897467000007,43.77717241800008
92,IE,53.17587984600004,-8.14600614699998
93,IM,54.22823097300005,-4.538760937999939
94,IL,31.97771151200004,34.97921769200008
95,IT,42.833330000000046,12.833330000000046
96,JM,18.157695292000028,-77.31110640499998
97,JP,36.655226998000046,139.27149500000007
98,JE,49.21402591200007,-2.1327190749999545
99,JO,31.248189480000065,36.78810430300007
100,KZ,48.18310616400004,67.19504548200007
101,KE,0.5284306580000475,37.88969855200003
102,XK,42.58150772100004,20.891573227000038
103,KW,29.355337252000027,47.61216588100007
104,KG,41.43197845000003,74.46759424400005
105,LA,18.49549827900006,103.76805746500008
106,LV,36.17193000000003,-115.14000999999996
107,LB,33.92144516600007,35.893427744000064
108,LR,6.447342577000029,-9.31038674499996
109,LY,27.041821576000075,18.030819147000045
110,LI,47.14114224000008,9.553182027000048
111,LT,55.33693608100003,23.900396649000072
112,LU,49.776828429000034,6.092325247000076
113,MG,-19.37694392999998,46.69788267100006
114,MY,2.500000000000057,112.50000000000011
115,MV,4.175240000000031,73.50928000000005
116,ML,17.362972883000054,-3.5204716629999666
117,MT,35.92254885600005,14.400072590000036
118,MR,20.25950735200007,-10.331488709999974
119,MU,-20.283556218999934,57.57181746400005
120,MX,23.952824990000067,-102.54835341899997
121,MD,47.20102827100004,28.46370618900005
122,MC,22.15781845400005,113.56035235900003
123,MN,46.83469147400007,103.06763313100004
124,ME,23.952824990000067,-102.54835341899997
125,MS,16.739171964000036,-62.18928012099997
126,MA,32.00000000000006,-4.999999999999943
127,MZ,-32.89083999999997,-68.82716999999997
128,MM,nan,nan
129,,nan,nan
130,NP,nan,nan
131,NL,nan,nan
